text,segment,intent,speaker
I would also like to have extra cheese,extra cheese,pizza_ordering.preference.accept,USER
Do you mean veggie lovers?,veggie lovers,pizza_ordering.name.pizza.accept,ASSISTANT
Cool. Your order will be ready at your local Bella Luna pizzeria shortly.,Bella Luna pizzeria,pizza_ordering.name.store.accept,ASSISTANT
Your order has been sent to Bella Luna and is being prepared. Your order should be ready for pickup soon.,Bella Luna,pizza_ordering.name.store.accept,ASSISTANT
"So 3 medium pepperoni pizzas, with thin crust and you want onions, green peppers and mushrooms on all of them, is this correct?",onions,pizza_ordering.type.topping.accept,ASSISTANT
got it. the cost for 2 large veggie lover pizzas both with thick crust comes out to $36.,large,pizza_ordering.size.pizza.accept,ASSISTANT
Hmmm...any good specials online from Dominos today?,Dominos,pizza_ordering.name.store.accept,USER
"It has successfully been placed, it will cost $25.",successfully been placed,pizza_ordering.pizza_order.accept,ASSISTANT
"so you are ordering 3 medium pizzas, one pepperoni, one cheese, and one mushroom and olives, is that correct?",mushroom and olives,pizza_ordering.name.pizza.accept,ASSISTANT
Your order has been placed.,Your order has been placed,pizza_ordering.pizza_order.accept,ASSISTANT
"ok, still medium size?",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"great. the order you said you wanted is for 4 medium thin crust pizzas, 1 with pepperoni, 1 supreme, 1 bbq chicken, and 1 half sausage and mushroom, and half onions and chicken.",bbq chicken,pizza_ordering.name.pizza.accept,ASSISTANT
"Ok, then I will have a large. Topping choices?",large,pizza_ordering.size.pizza.accept,USER
"hey assistant, can you place a pizza order from X pizzeria for me.",X pizzeria,pizza_ordering.name.store.accept,USER
"I want a small thin crust pizza, with black olives and pepperoni only.",thin crust pizza,pizza_ordering.name.pizza.accept,USER
"4 small pizzas, 1 pepperoni, 1 sausage, 1 veggie lovers, 1 chicken bbq all extra cheese.",veggie lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"3 large thin crust pizzas, 2 veggie lovers, 1 chicken alfredo.",veggie lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"extra chese, extra tomatoes, spinach, garlic, mushroom, hams, italian ham, extra tomatoes and pineapple",extra chese,pizza_ordering.preference.accept,ASSISTANT
"so your order is: 3 large pizzas. one meatlovers, the second with mushrooms and linguiça and the third with olives, black pepper, hot sauce and pepperoni.",meatlovers,pizza_ordering.name.pizza.accept,ASSISTANT
It's on the corner of Broadway and 163rd.,It's on the corner of Broadway and 163rd,pizza_ordering.location.store.accept,USER
"For the second pizza, add bacon onto that, too, please.",bacon,pizza_ordering.type.topping.accept,USER
"I ordered the large hand tossed pizza with ham, onion and cheese.",large,pizza_ordering.size.pizza.accept,ASSISTANT
"ok, you are ordering 4 small pizzas with extra cheese, 1 veggie lovers, light sauce, 1 tomatoes, 1 chicken bbq, extra sauce, and 1 pepperoni, is that correct?",pepperoni,pizza_ordering.name.pizza.accept,ASSISTANT
Can I get a large hand tossed crust pizza please?,hand tossed crust pizza,pizza_ordering.name.pizza.accept,USER
